chain_key,total_pois,sample_raw_names,proposed_canonical_brand_id,proposed_display_name_en,proposed_display_name_ar,confidence,notes
dr cafe coffee v12 station د كيف كافيه,7,dr.CAFE COFFEE | V12 Station | د.كيف كافيه || dr.CAFE COFFEE | V12 Station | د.كيف كافيه‎,dr_cafe,Dr. CAFE,دكتور كيف,high,
applebee s ابل بيز,7,Applebee's | أبل بيز || Applebee's | ابل بيز,applebees,Applebee's,ابلبيز,high,
مطعم سمرقندي,7,مطعم سمرقندي,,,,low,matches non-chain pattern 'مطعم'
اسطا عاصم,7,اسطا عاصم,,,,medium,"high count, manual classification needed"
ارينا,7,ارينا,,,,medium,"high count, manual classification needed"
المذاق الراقي,7,المذاق الراقي,,,,medium,"high count, manual classification needed"
enabah,7,Enabah || enabah,,,,medium,"high count, manual classification needed"
حالي ومالح,7,حالي ومالح,,,,medium,"high count, manual classification needed"
مرخ,7,مرخ,,,,medium,"high count, manual classification needed"
wooden coffee وودن كوفي,7,Wooden Coffee | وودن كوفي || Wooden coffee | وودن كوفي,,,,medium,"high count, manual classification needed"
دولتشي راغوزا,7,دولتشي راغوزا,,,,medium,"high count, manual classification needed"
فيش فيس,7,فيش فيس,,,,medium,"high count, manual classification needed"
محبوب,7,محبوب,,,,medium,"high count, manual classification needed"
مخبز بول,7,مخبز بول,,,,low,matches non-chain pattern 'مخبز'
غلوريا جينز كوفيز gloria jeans coffees,7,غلوريا جينز كوفيز Gloria Jeans Coffees,,,,medium,"high count, manual classification needed"
جزيل,7,جزيل,,,,medium,"high count, manual classification needed"
urth caff,7,Urth Caffè || Urth Caffé || Urth caffé,,,,medium,"high count, manual classification needed"
فرن,7,فرن,,,,medium,"high count, manual classification needed"
veloce,7,VELOCE || Veloce,,,,medium,"high count, manual classification needed"
فلافل اشي زاكي,7,فلافل اشي زاكي,,,,medium,"high count, manual classification needed"
الكنافة الساخنة,7,الكنافة الساخنة,,,,medium,"high count, manual classification needed"
daily cup ديلي كب,7,Daily Cup ديلي كب || Daily cup | ديلي كب || Daily cup ديلي كب,,,,medium,"high count, manual classification needed"
the coffee address,7,The Coffee Address,coffee_address,Coffee Address,عنوان القهوة,high,
ماريز,7,ماريز,,,,medium,"high count, manual classification needed"
عصير الضاحية,7,عصير الضاحية,,,,medium,"high count, manual classification needed"
عصير منجا الزعيم,7,عصير منجا الزعيم,,,,medium,"high count, manual classification needed"
tasali,7,TASALI || TASAli || Tasali,,,,medium,"high count, manual classification needed"
coyard coffee roasters,7,COYARD Coffee Roasters,,,,medium,"high count, manual classification needed"
تصفيفة,7,تصفيفة,,,,medium,"high count, manual classification needed"
طويق,7,طويق,,,,medium,"high count, manual classification needed"
sunset cafe,7,SUNSET CAFE || SUNSET Cafe || Sunset Cafe || Sunset cafe,,,,medium,"high count, manual classification needed"
ليفون,7,ليفون,,,,medium,"high count, manual classification needed"
مطعم بول,7,مطعم بول,,,,low,matches non-chain pattern 'مطعم'
قريّب,7,قريّب,,,,medium,"high count, manual classification needed"
غرانوڤا,7,غرانوڤا,,,,medium,"high count, manual classification needed"
ماربل سلاب كريمري,7,ماربل سلاب كريمري,,,,medium,"high count, manual classification needed"
ديب ان ديب,7,ديب إن ديب || ديب ان ديب,,,,medium,"high count, manual classification needed"
شوكولاتة الوليمة,7,شوكولاتة الوليمة,,,,medium,"high count, manual classification needed"
طباخ متنقل,7,طباخ متنقل,,,,medium,"high count, manual classification needed"
بيك اند كيك,7,بيك اند كيك,,,,medium,"high count, manual classification needed"
بيك اواي للمعجنات,7,بيك أواي للمعجنات || بيك اواي للمعجنات,,,,medium,"high count, manual classification needed"
شوقرهايڤ,7,شوقرهايڤ,,,,medium,"high count, manual classification needed"
coffee day يوم القهوة,7,Coffee Day | يوم القهوة,,,,medium,"high count, manual classification needed"
coffee day,7,Coffee Day || Coffee day,,,,medium,"high count, manual classification needed"
almajed for oud,7,Almajed For Oud,,,,medium,"high count, manual classification needed"
shrimp shack,7,Shrimp Shack || Shrimp shack,,,,medium,"high count, manual classification needed"
بيتزا رام,7,بيتزا رام,,,,medium,"high count, manual classification needed"
شعبيات الزمن الجميل,7,شعبيات الزمن الجميل,,,,medium,"high count, manual classification needed"
شيخ المندي,7,شيخ المندي,,,,medium,"high count, manual classification needed"
بيتزا اكسبريس,7,بيتزا اكسبريس,,,,medium,"high count, manual classification needed"
shiro,7,SHiRO || Shiro,,,,medium,"high count, manual classification needed"
لقيا,7,لقيا,,,,medium,"high count, manual classification needed"
بيت التحميص,7,بيت التحميص,,,,medium,"high count, manual classification needed"
real burger,7,Real Burger,,,,medium,"high count, manual classification needed"
بوتيتو كورنر,7,بوتيتو كورنر,,,,medium,"high count, manual classification needed"
بندت بيكري,7,بندت بيكري,,,,medium,"high count, manual classification needed"
ratio speciality coffee,7,RATIO Speciality Coffee || RATIO speciality coffee || Ratio Speciality Coffee,,,,medium,"high count, manual classification needed"
alhamra albukhari الحمراء البخاري,7,Alhamra Albukhari | الحمراء البخاري,,,,medium,"high count, manual classification needed"
بنز كوكيز,7,بنز كوكيز,,,,medium,"high count, manual classification needed"
كي كافيه,7,كي كافيه,,,,low,matches non-chain pattern 'كافيه'
spice سبايس,7,Spice | سبايس || Spice|سبايس || spice | سبايس,,,,medium,"high count, manual classification needed"
quiznos كويزنوز,7,Quiznos | كويزنوز || Quiznos كويزنوز,,,,medium,"high count, manual classification needed"
كوايت,7,كوايت,,,,medium,"high count, manual classification needed"
كنافة اصيل النابلسية,7,كنافة أصيل النابلسية,,,,medium,"high count, manual classification needed"
كنافة ابو الهوس,7,كنافة أبو الهوس || كنافة ابو الهوس,,,,medium,"high count, manual classification needed"
برياني بوت,7,برياني بوت,,,,medium,"high count, manual classification needed"
شاك برجر,7,شاك برجر,,,,medium,"high count, manual classification needed"
بقلاوة اثرية,7,بقلاوة أثرية,,,,medium,"high count, manual classification needed"
بروكسل,7,بروكسل,,,,medium,"high count, manual classification needed"
كستر,7,كستر,,,,medium,"high count, manual classification needed"
باردون,7,باردون,,,,medium,"high count, manual classification needed"
gong cha قونق تشا,7,Gong Cha - قونق تشا,,,,medium,"high count, manual classification needed"
برجر هنش,7,برجر هنش,,,,medium,"high count, manual classification needed"
caf cafe,7,CAF Cafe || CAF cafe,,,,medium,"high count, manual classification needed"
سموكي وينقز,7,سموكي وينقز,,,,medium,"high count, manual classification needed"
باستا فياستا,7,باستا فياستا,,,,medium,"high count, manual classification needed"
سلة الموائد,7,سلة الموائد,,,,medium,"high count, manual classification needed"
moroccan taste,7,Moroccan Taste,,,,medium,"high count, manual classification needed"
بارتي بوكس,7,بارتي بوكس,,,,medium,"high count, manual classification needed"
little caesars,7,Little Caesars,little_caesars,Little Caesars,ليتل سيزرز,high,
كانديرا,7,كانديرا,,,,medium,"high count, manual classification needed"
سفرة العمدة,7,سفرة العمدة,,,,medium,"high count, manual classification needed"
سكارليت,7,سكارليت,,,,medium,"high count, manual classification needed"
ايسه,7,آيسه,,,,medium,"high count, manual classification needed"
ايرماين,7,ايرماين,,,,medium,"high count, manual classification needed"
كراي,7,كراي,,,,medium,"high count, manual classification needed"
كريول,7,كريول,,,,medium,"high count, manual classification needed"
زماني,7,زماني,,,,medium,"high count, manual classification needed"
caf bateel,7,Café Bateel,bateel,Bateel,بتيل,high,
اولارا,7,اولارا,,,,medium,"high count, manual classification needed"
قونق تشا,7,قونق تشا,,,,medium,"high count, manual classification needed"
يوم العصير,7,يوم العصير,,,,medium,"high count, manual classification needed"
يوم الكراميل,7,يوم الكراميل,,,,medium,"high count, manual classification needed"
jadeel coffee,7,Jadeel Coffee || Jadeel coffee,,,,medium,"high count, manual classification needed"
burger king arabia,7,Burger King Arabia,burger_king,Burger King,برجر كنج,high,
j co donuts and coffee جي كو,7,J.CO Donuts and Coffee جي كو,,,,medium,"high count, manual classification needed"
november coffee,7,November Coffee || November coffee,,,,medium,"high count, manual classification needed"
الو بيروت,7,الو بيروت,,,,medium,"high count, manual classification needed"
هوي,7,هوى,,,,medium,"high count, manual classification needed"
كوكوا ميلتس,7,كوكوا ميلتس,,,,medium,"high count, manual classification needed"
راوز باستا,7,راوز باستا,,,,medium,"high count, manual classification needed"
ديفو,7,ديفو,,,,medium,"high count, manual classification needed"
ديكو,7,ديكو,,,,medium,"high count, manual classification needed"
كلاج,7,كلاج,,,,medium,"high count, manual classification needed"
الكت elct,6,إلكت | ELCT || الكت | ELCT,,,,medium,"high count, manual classification needed"
فيلان تشوكلت,6,فيلان تشوكلت,,,,medium,"high count, manual classification needed"
نكهات ورق عنب,6,نكهات ورق عنب,,,,medium,"high count, manual classification needed"
فيروز جاردن,6,فيروز جاردن,,,,medium,"high count, manual classification needed"
نجم الشاورما,6,نجم الشاورما,,,,medium,"high count, manual classification needed"
الفطيرة الدمشقية,6,الفطيرة الدمشقية,,,,medium,"high count, manual classification needed"
فوال و مطبق,6,فوال و مطبق,,,,medium,"high count, manual classification needed"
نافذة القهوة,6,نافذة القهوة,,,,medium,"high count, manual classification needed"
السعودي,6,السعودي,,,,medium,"high count, manual classification needed"
فوال شموع الطائف,6,فوال شموع الطائف,,,,medium,"high count, manual classification needed"
broasted express,6,Broasted Express,,,,medium,"high count, manual classification needed"
مندي مجيد,6,مندي مجيد,,,,medium,"high count, manual classification needed"
موتشو,6,موتشو,,,,medium,"high count, manual classification needed"
4twins coffee,6,4Twins Coffee || 4twins Coffee,,,,medium,"high count, manual classification needed"
البيت الرومانسي,6,البيت الرومانسي,,,,medium,"high count, manual classification needed"
اقوس,6,اقوس,,,,medium,"high count, manual classification needed"
فوال اطيب النخيل,6,فوال أطيب النخيل || فوال اطيب النخيل,,,,medium,"high count, manual classification needed"
drip coffee,6,Drip Coffee || Drip coffee,,,,medium,"high count, manual classification needed"
خلية القرية,6,خلية القرية,,,,medium,"high count, manual classification needed"
فلود,6,فلود,,,,medium,"high count, manual classification needed"
فلون,6,فلون,,,,medium,"high count, manual classification needed"
مقلوبة حب ودهن,6,مقلوبة حب ودهن,,,,medium,"high count, manual classification needed"
dr cafe د كيف,6,Dr. Cafe   د. كيف || Dr. Cafe | د. كيف || Dr.Cafe | د.كيف || Dr.cafe | د.كيف || dr.CAFE | د.كيف,dr_cafe,Dr. CAFE,دكتور كيف,high,
مقهي مجلس المضياف,6,مقهى مجلس المضياف,,,,medium,"high count, manual classification needed"
فلافل مارينا,6,فلافل مارينا,,,,medium,"high count, manual classification needed"
فلافل مار,6,فلافل مار,,,,medium,"high count, manual classification needed"
مظبيكم,6,مظبيكم,,,,medium,"high count, manual classification needed"
فلافل مثمرة,6,فلافل مثمرة,,,,medium,"high count, manual classification needed"
دانة الارياف,6,دانة الأرياف,,,,medium,"high count, manual classification needed"
فلافل انهار عرفة,6,فلافل أنهار عرفة || فلافل انهار عرفة,,,,medium,"high count, manual classification needed"
فوال ثمرات النخيل,6,فوال ثمرات النخيل,,,,medium,"high count, manual classification needed"
مطعم زاد بلدي,6,مطعم زاد بلدي,,,,low,matches non-chain pattern 'مطعم'
مقلوبة الدار,6,مقلوبة الدار,,,,medium,"high count, manual classification needed"
حجازيات العمدة,6,حجازيات العمدة,,,,medium,"high count, manual classification needed"
مشاوي صح,6,مشاوي صح,,,,medium,"high count, manual classification needed"
جيزر برجر,6,جيزر برجر,,,,medium,"high count, manual classification needed"
فروز,6,فروز,,,,medium,"high count, manual classification needed"
wooden coffee,6,Wooden Coffee || Wooden coffee,,,,medium,"high count, manual classification needed"
حصاد البن,6,حصاد البن,,,,medium,"high count, manual classification needed"
wokkong,6,WokKong || Wokkong,,,,medium,"high count, manual classification needed"
فلافل ابوعرب,6,فلافل أبوعرب,,,,medium,"high count, manual classification needed"
فرنيات,6,فرنيات,,,,medium,"high count, manual classification needed"
جاناش,6,جاناش,,,,medium,"high count, manual classification needed"
حطبة,6,حطبة,,,,medium,"high count, manual classification needed"
جارام مسالا,6,جارام مسالا,,,,medium,"high count, manual classification needed"
tim hortons تيم هورتنز,6,Tim Hortons | تيم هورتنز || Tim Hortons تيم هورتنز,tim_hortons,Tim Hortons,تيم هورتنز,high,
trieste تريستي,6,TRIESTE تريستي || Trieste - تريستي,,,,medium,"high count, manual classification needed"
مذاق الحجاز,6,مذاق الحجاز,,,,medium,"high count, manual classification needed"
تيك بيتزا,6,تيك بيتزا,,,,medium,"high count, manual classification needed"
تي رود,6,تي رود,,,,medium,"high count, manual classification needed"
the cake house بيت الكيك,6,The Cake House | بيت الكيك || The Cake House | بيت الكيك‎ || The Cake House بيت الكيك,,,,medium,"high count, manual classification needed"
texas chicken,6,Texas Chicken,texas_chicken,Texas Chicken,تكساس تشكن,high,
مارفي,6,مارفي,,,,medium,"high count, manual classification needed"
تن,6,تن,,,,medium,"high count, manual classification needed"
ليلو ارتيسان باتيسري,6,ليلو ارتيسان باتيسري,,,,medium,"high count, manual classification needed"
صب واي subway,6,صب واي Subway || صب واي subway || صب واي | Subway,subway,Subway,صب واي,high,
12 cups,6,12 CUPS || 12 Cups,,,,medium,"high count, manual classification needed"
تشك ن بن,6,تشك ن بن,,,,medium,"high count, manual classification needed"
شيف بيتزا,6,شيف بيتزا,,,,medium,"high count, manual classification needed"
فلافل العملاق,6,فلافل العملاق,,,,medium,"high count, manual classification needed"
cookies n cream,6,Cookies N Cream || Cookies N' Cream || Cookies N'Cream || Cookies N’ Cream || Cookies n Cream,,,,medium,"high count, manual classification needed"
al bukhari restaurant,6,Al Bukhari Restaurant || al bukhari restaurant,,,,low,matches non-chain pattern 'restaurant'
ماما بنز كافيه mammabunz cafe,6,ماما بنز كافيه | MammaBunz Cafe‏,,,,low,matches non-chain pattern 'كافيه'
شوكر دوز,6,شوكر دوز,,,,medium,"high count, manual classification needed"
لوف,6,لوف,,,,medium,"high count, manual classification needed"
coffee shop,6,COFFEE SHOP || Coffee shop || coffee shop,,,,medium,"high count, manual classification needed"
almamlaka sweets,6,AlMamlaka Sweets || Almamlaka Sweets || almamlaka sweets,,,,medium,"high count, manual classification needed"
لوتشير,6,لوتشير,,,,medium,"high count, manual classification needed"
بيس,6,بيس,,,,medium,"high count, manual classification needed"
شورمه,6,شورمه,,,,medium,"high count, manual classification needed"
لوزية,6,لوزية,,,,medium,"high count, manual classification needed"
coffee address,6,Coffee Address || Coffee address,coffee_address,Coffee Address,عنوان القهوة,high,
بيتزا بابا جونز,6,بيتزا بابا جونز,papa_johns,Papa John's,بابا جونز,high,
shake shack,6,Shake Shack,shake_shack,Shake Shack,شيك شاك,high,
شركة طرد النحل بالرياض ازالة اعشاش النحل من الجدران والاسقف باحتراف,6,شركة طرد النحل بالرياض | إزالة أعشاش النحل من الجدران والأسقف باحتراف,,,,medium,"high count, manual classification needed"
barns,6,Barns || barns,barns,Barn's,بارنز,high,
لافيرا,6,لافيرا,,,,medium,"high count, manual classification needed"
شاي واو,6,شاي واو,,,,medium,"high count, manual classification needed"
saadeddin pastry حلويات سعدالدين,6,Saadeddin Pastry | حلويات سعدالدين || Saadeddin Pastry حلويات سعدالدين,,,,low,matches non-chain pattern 'حلويات'
charleys philly steaks,6,CHARLEYS philly steaks || Charleys Philly Steaks,,,,medium,"high count, manual classification needed"
بلينتي سلدز,6,بلينتي سلدز,,,,medium,"high count, manual classification needed"
caribou coffee كاريبو كوفي,6,Caribou Coffee | كاريبو كوفي,caribou_coffee,Caribou Coffee,كاريبو كوفي,high,
بلومن كوفي,6,بلومن كوفي,,,,medium,"high count, manual classification needed"
بوفية افضل وجبة,6,بوفية أفضل وجبة || بوفية افضل وجبة,,,,medium,"high count, manual classification needed"
شاورما قراطيس,6,شاورما قراطيس,,,,medium,"high count, manual classification needed"
تراينقل سويت,6,تراينقل سويت,,,,medium,"high count, manual classification needed"
كولد,6,كولد,,,,medium,"high count, manual classification needed"
canton,6,Canton,,,,medium,"high count, manual classification needed"
pizza express,6,PIZZA EXPRESS || Pizza Express || Pizza express || pizza Express || pizza express,,,,medium,"high count, manual classification needed"
كورد قهوة يومية,6,كورد - قهوة يومية || كورد | قهوة يومية,,,,medium,"high count, manual classification needed"
بريك بوينت,6,بريك بوينت,,,,medium,"high count, manual classification needed"
بسبوستي الذهبية,6,بسبوستي الذهبية,,,,medium,"high count, manual classification needed"
popeyes louisiana kitchen,6,Popeyes Louisiana Kitchen || Popeyes Louisiana kitchen,popeyes,Popeyes,بوبايز,high,
برياني بوكس,6,برياني بوكس,,,,medium,"high count, manual classification needed"
شارليز فيلي ستيكس,6,شارليز فيلي ستيكس,,,,medium,"high count, manual classification needed"
كوفي,6,كوفي,,,,medium,"high count, manual classification needed"
بروستد الاخوين,6,بروستد الأخوين || بروستد الاخوين,,,,medium,"high count, manual classification needed"
سيدلينق سلط,6,سيدلينق سلط,,,,medium,"high count, manual classification needed"
برقرايقو,6,برقرايقو,,,,medium,"high count, manual classification needed"
سويت هوم,6,سويت هوم,,,,medium,"high count, manual classification needed"
برجر وهمي,6,برجر وهمي,,,,medium,"high count, manual classification needed"
سولاس,6,سولاس,,,,medium,"high count, manual classification needed"
سويّرز,6,سويّرز,,,,medium,"high count, manual classification needed"
كريف كوكيز,6,كريف كوكيز,,,,medium,"high count, manual classification needed"
b1 grilled burger برجر مشوي,6,B1 Grilled Burger | برجر مشوي || B1 Grilled Burger برجر مشوي,,,,medium,"high count, manual classification needed"
برايم كت,6,برايم كت,,,,medium,"high count, manual classification needed"
gloria jean s coffees,6,Gloria Jean's Coffees,,,,medium,"high count, manual classification needed"
nando s,6,Nando's,nandos,Nando's,ناندوز,high,
كريب ن ديب,6,كريب ن ديب,,,,medium,"high count, manual classification needed"
molten chocolate cafe,6,Molten Chocolate Cafe,,,,medium,"high count, manual classification needed"
molten,6,Molten || molten,,,,medium,"high count, manual classification needed"
شاورما اند مور,6,شاورما أند مور || شاورما اند مور,,,,medium,"high count, manual classification needed"
بروستد النورماني,6,بروستد النورماني,,,,medium,"high count, manual classification needed"
سنابل السلام,6,سنابل السلام,,,,medium,"high count, manual classification needed"
كرسبش,6,كرسبش,,,,medium,"high count, manual classification needed"
سلطات بول,6,سلطات بول,,,,medium,"high count, manual classification needed"
سلايس كو بيتزا,6,سلايس كو بيتزا,,,,medium,"high count, manual classification needed"
كبسة غريب,6,كبسة غريب,,,,medium,"high count, manual classification needed"
بتيل بوتيك,6,بتيل بوتيك,bateel,Bateel,بتيل,high,
بارنز barn s,6,بارنز Barn’s || بارنز barn's || بارنز | Barn's,barns,Barn's,بارنز,high,
بارولي كافيه,6,بارولي كافيه,,,,low,matches non-chain pattern 'كافيه'
let s pizza,6,Let's Pizza || Let's pizza || Let’s Pizza,,,,medium,"high count, manual classification needed"
la casa pasta,6,La Casa Pasta,,,,medium,"high count, manual classification needed"
ايس دريم,6,ايس دريم,,,,medium,"high count, manual classification needed"
كان,6,كان,,,,medium,"high count, manual classification needed"
سليل,6,سليل,,,,medium,"high count, manual classification needed"
سفانه,6,سفانه,,,,medium,"high count, manual classification needed"
كاري كلوب,6,كاري كلوب,,,,medium,"high count, manual classification needed"
kyan كيان,6,KYAN|كيان || kyan| كيان || kyan|كيان,,,,medium,"high count, manual classification needed"
burger king برجر كينج,6,Burger King (برجر كينج) || Burger King | برجر كينج,burger_king,Burger King,برجر كنج,high,
juice time وقت العصير,6,Juice Time وقت العصير,,,,medium,"high count, manual classification needed"
juice time,6,Juice Time,,,,medium,"high count, manual classification needed"
روزاليا برجر,6,روزاليا برجر,,,,medium,"high count, manual classification needed"
سويت لوكيشن,6,سويت لوكيشن,,,,medium,"high count, manual classification needed"
اوبريشن فلافل,6,أوبريشن فلافل || اوبريشن فلافل,,,,medium,"high count, manual classification needed"
ركن الحلويات,6,ركن الحلويات || ركن الحلويات ,,,,low,matches non-chain pattern 'حلويات'
ركن الجوهرة,6,ركن الجوهرة,,,,medium,"high count, manual classification needed"
